2019.09.29-12.56.06,wav_name
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010251@TJ0010251A03_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010232@TJ0010232A03_240.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010232@TJ0010232B07_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010209@TJ0010209B04_230.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010237@TJ0010237A02_241.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010079@TJ0010079B04_233.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010414@TJ0010414B06_240.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010170@TJ0010170A02_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010440@TJ0010440B01_238.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010414@TJ0010414B07_242.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010239@TJ0010239B06_222.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010254@TJ0010254B07_239.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010221@TJ0010221A02_252.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010095@TJ0010095B03_219.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010281@TJ0010281B03_217.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010170@TJ0010170A01_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010231@TJ0010231A02_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010242@TJ0010242B03_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010238@TJ0010238B05_247.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010234@TJ0010234B07_228.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010064@TJ0010064A02_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010307@TJ0010307B04_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010414@TJ0010414B01_240.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010232@TJ0010232B03_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010002@TJ0010002B05_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010245@TJ0010245B01_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010010@TJ0010010B01_226.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010238@TJ0010238A01_239.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010141@TJ0010141B04_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010246@TJ0010246B01_232.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010301@TJ0010301B06_239.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010043@TJ0010043B06_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010472@TJ0010472B04_233.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010369@TJ0010369B04_246.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010359@TJ0010359B05_245.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010245@TJ0010245B05_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010444@TJ0010444B01_238.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010428@TJ0010428A04_260.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010231@TJ0010231B05_232.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010064@TJ0010064B07_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010231@TJ0010231B05_226.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010170@TJ0010170A02_243.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010246@TJ0010246B05_232.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010236@TJ0010236B04_240.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010049@TJ0010049B06_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010379@TJ0010379A01_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010236@TJ0010236B03_228.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010300@TJ0010300B02_224.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010232@TJ0010232B02_223.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010254@TJ0010254A02_223.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010314@TJ0010314B05_249.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010472@TJ0010472B01_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010237@TJ0010237A01_241.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010236@TJ0010236B02_242.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010257@TJ0010257B05_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010243@TJ0010243B06_228.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010379@TJ0010379A02_233.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010246@TJ0010246A02_243.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010043@TJ0010043A03_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010465@TJ0010465B04_248.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010444@TJ0010444A03_233.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010209@TJ0010209B06_222.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010472@TJ0010472A01_226.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010249@TJ0010249B05_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010095@TJ0010095B04_223.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010253@TJ0010253B01_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010379@TJ0010379B02_238.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010249@TJ0010249B07_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010079@TJ0010079B01_233.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010307@TJ0010307B05_223.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010314@TJ0010314B07_241.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010265@TJ0010265A04_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010232@TJ0010232A02_232.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010465@TJ0010465B07_248.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010238@TJ0010238A03_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010348@TJ0010348B04_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010314@TJ0010314B02_243.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010359@TJ0010359B02_241.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010064@TJ0010064B05_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010231@TJ0010231B01_230.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010385@TJ0010385B07_234.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010250@TJ0010250B03_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010164@TJ0010164A03_234.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010258@TJ0010258A04_253.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010275@TJ0010275B06_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010275@TJ0010275B05_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010240@TJ0010240B07_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010300@TJ0010300A04_232.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010051@TJ0010051B04_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010391@TJ0010391B03_236.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010237@TJ0010237B04_241.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010240@TJ0010240B02_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010245@TJ0010245B01_233.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010209@TJ0010209B02_224.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010164@TJ0010164A01_220.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010235@TJ0010235A04_234.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010067@TJ0010067B07_221.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010232@TJ0010232B01_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010245@TJ0010245B02_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010239@TJ0010239A01_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010300@TJ0010300B04_220.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010281@TJ0010281B05_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010444@TJ0010444B05_232.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010233@TJ0010233B03_234.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010428@TJ0010428B03_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010167@TJ0010167A03_224.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010359@TJ0010359A04_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010260@TJ0010260B04_223.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010275@TJ0010275A03_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010209@TJ0010209A02_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010164@TJ0010164A02_232.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010235@TJ0010235A03_222.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010369@TJ0010369B02_240.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010356@TJ0010356B05_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010241@TJ0010241B01_234.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010300@TJ0010300B05_226.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010253@TJ0010253A02_233.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010356@TJ0010356A04_230.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010265@TJ0010265B06_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010115@TJ0010115A03_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010115@TJ0010115A01_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010465@TJ0010465B07_232.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010253@TJ0010253B05_233.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010232@TJ0010232B07_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010230@TJ0010230A03_228.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010230@TJ0010230B07_245.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010438@TJ0010438B07_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010242@TJ0010242A02_252.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010231@TJ0010231B02_230.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010242@TJ0010242A03_254.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010230@TJ0010230A04_226.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010230@TJ0010230B03_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010249@TJ0010249A02_238.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010250@TJ0010250A03_224.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010275@TJ0010275B01_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010231@TJ0010231A04_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010244@TJ0010244A01_235.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010258@TJ0010258B04_230.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010244@TJ0010244B04_220.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010275@TJ0010275B06_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010067@TJ0010067A02_233.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010233@TJ0010233B03_248.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010150@TJ0010150A01_239.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010167@TJ0010167B01_255.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010141@TJ0010141A02_242.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010356@TJ0010356B03_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010231@TJ0010231B05_230.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010281@TJ0010281B01_221.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010079@TJ0010079A04_236.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010236@TJ0010236B04_236.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010246@TJ0010246B03_236.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010239@TJ0010239B05_220.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010232@TJ0010232A04_234.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010164@TJ0010164A03_224.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010175@TJ0010175A03_236.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010010@TJ0010010A02_222.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010477@TJ0010477B07_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010385@TJ0010385A04_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010477@TJ0010477B02_235.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010051@TJ0010051B06_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010315@TJ0010315B05_235.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010253@TJ0010253A04_227.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010150@TJ0010150B03_238.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010231@TJ0010231A03_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010049@TJ0010049B02_237.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010251@TJ0010251B03_222.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010230@TJ0010230B01_247.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010240@TJ0010240A01_228.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010315@TJ0010315B06_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010359@TJ0010359B07_239.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010348@TJ0010348B06_241.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010323@TJ0010323B05_231.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010414@TJ0010414A04_233.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010043@TJ0010043B05_221.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010379@TJ0010379B03_246.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010259@TJ0010259B03_232.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010095@TJ0010095B01_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010314@TJ0010314B04_253.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010217@TJ0010217A01_235.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010150@TJ0010150A03_229.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010379@TJ0010379B06_240.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010150@TJ0010150B02_228.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010512@TJ0010512B05_243.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010460@TJ0010460B02_242.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010445@TJ0010445A01_234.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010164@TJ0010164B04_242.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010243@TJ0010243A03_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010307@TJ0010307A01_241.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010234@TJ0010234B07_226.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010164@TJ0010164A02_222.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010440@TJ0010440B04_240.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010236@TJ0010236A03_239.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010254@TJ0010254A03_223.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010244@TJ0010244B06_220.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010281@TJ0010281A03_247.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010316@TJ0010316A04_241.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010141@TJ0010141B05_225.wav
智能管家,\\192.168.1.12\hftest\hfwav\demei\TJ0010259@TJ0010259B03_228.wav
